level,unit,title,epoch,ts,_id
-3.637,W,Potencia Casa,1635239268,2021-10-26 09:07:48,6177c56d2e27118f037448a5
-3.1099998,W,Potencia Casa,1635239278,2021-10-26 09:07:58,6177c5772e27118f037448a6
-3.55,W,Potencia Casa,1635239288,2021-10-26 09:08:08,6177c5812e27118f037448a7
-21.161,W,Potencia Casa,1635239298,2021-10-26 09:08:18,6177c58b2e27118f037448a8
-13.048,W,Potencia Casa,1635239308,2021-10-26 09:08:28,6177c5962e27118f037448a9
-11.911,W,Potencia Casa,1635239318,2021-10-26 09:08:38,6177c5a02e27118f037448aa
-9.6780008,W,Potencia Casa,1635239328,2021-10-26 09:08:48,6177c5aa2e27118f037448ab
-6.759,W,Potencia Casa,1635239338,2021-10-26 09:08:58,6177c5b42e27118f037448ac
-15.564,W,Potencia Casa,1635239348,2021-10-26 09:09:08,6177c5be2e27118f037448ad
-10.216,W,Potencia Casa,1635239358,2021-10-26 09:09:18,6177c5c82e27118f037448ae
-20.0189984,W,Potencia Casa,1635239368,2021-10-26 09:09:28,6177c5d22e27118f037448af
-16.779,W,Potencia Casa,1635239378,2021-10-26 09:09:38,6177c5dc2e27118f037448b0
-16.5,W,Potencia Casa,1635239389,2021-10-26 09:09:49,6177c5e62e27118f037448b1
-16.391,W,Potencia Casa,1635239399,2021-10-26 09:09:59,6177c5f02e27118f037448b2
-16.184,W,Potencia Casa,1635239409,2021-10-26 09:10:09,6177c5fb2e27118f037448b3
-28.3850016,W,Potencia Casa,1635239419,2021-10-26 09:10:19,6177c6052e27118f037448b4
-31.196,W,Potencia Casa,1635239429,2021-10-26 09:10:29,6177c60f2e27118f037448b5
-43.6090016,W,Potencia Casa,1635239439,2021-10-26 09:10:39,6177c6192e27118f037448b6
-44.89,W,Potencia Casa,1635239449,2021-10-26 09:10:49,6177c6232e27118f037448b7
-62.3830016,W,Potencia Casa,1635239459,2021-10-26 09:10:59,6177c62d2e27118f037448b8
-62.1809984,W,Potencia Casa,1635239469,2021-10-26 09:11:09,6177c6372e27118f037448b9
-56.0779968,W,Potencia Casa,1635239479,2021-10-26 09:11:19,6177c6412e27118f037448ba
-56.0990016,W,Potencia Casa,1635239490,2021-10-26 09:11:30,6177c64b2e27118f037448bb
-35.5110016,W,Potencia Casa,1635239500,2021-10-26 09:11:40,6177c6552e27118f037448bc
-2050.4799232,W,Potencia Casa,1635239510,2021-10-26 09:11:50,6177c6602e27118f037448bd
