level,unit,title,epoch,ts,_id
2.361,W,Potencia Casa,1635250852,2021-10-26 12:20:52,6177f2aeb1e499ce87a0dd15
2.361,W,Potencia Casa,1635250852,2021-10-26 12:20:52,6177f2b8b1e499ce87a0dd16
2.382,W,Potencia Casa,1635250874,2021-10-26 12:21:14,6177f2c2b1e499ce87a0dd17
2.382,W,Potencia Casa,1635250874,2021-10-26 12:21:14,6177f2ccb1e499ce87a0dd18
14.872,W,Potencia Casa,1635250893,2021-10-26 12:21:33,6177f2d6b1e499ce87a0dd19
29.398,W,Potencia Casa,1635250903,2021-10-26 12:21:43,6177f2e0b1e499ce87a0dd1a
29.398,W,Potencia Casa,1635250903,2021-10-26 12:21:43,6177f2eab1e499ce87a0dd1b
29.398,W,Potencia Casa,1635250903,2021-10-26 12:21:43,6177f2f5b1e499ce87a0dd1c
3.813,W,Potencia Casa,1635250935,2021-10-26 12:22:15,6177f2ffb1e499ce87a0dd1d
3.813,W,Potencia Casa,1635250935,2021-10-26 12:22:15,6177f309b1e499ce87a0dd1e
14.598,W,Potencia Casa,1635250953,2021-10-26 12:22:33,6177f313b1e499ce87a0dd1f
14.598,W,Potencia Casa,1635250953,2021-10-26 12:22:33,6177f31db1e499ce87a0dd20
7.162,W,Potencia Casa,1635250974,2021-10-26 12:22:54,6177f327b1e499ce87a0dd21
7.162,W,Potencia Casa,1635250974,2021-10-26 12:22:54,6177f331b1e499ce87a0dd22
10.025,W,Potencia Casa,1635250994,2021-10-26 12:23:14,6177f33bb1e499ce87a0dd23
3.839,W,Potencia Casa,1635251004,2021-10-26 12:23:24,6177f345b1e499ce87a0dd24
17.228,W,Potencia Casa,1635251014,2021-10-26 12:23:34,6177f34fb1e499ce87a0dd25
3.741,W,Potencia Casa,1635251024,2021-10-26 12:23:44,6177f35ab1e499ce87a0dd26
16.458,W,Potencia Casa,1635251034,2021-10-26 12:23:54,6177f364b1e499ce87a0dd27
16.458,W,Potencia Casa,1635251034,2021-10-26 12:23:54,6177f36eb1e499ce87a0dd28
10.081,W,Potencia Casa,1635251055,2021-10-26 12:24:15,6177f378b1e499ce87a0dd29
10.066,W,Potencia Casa,1635251065,2021-10-26 12:24:25,6177f382b1e499ce87a0dd2a
76.7020032,W,Potencia Casa,1635251075,2021-10-26 12:24:35,6177f38cb1e499ce87a0dd2b
3.658,W,Potencia Casa,1635251085,2021-10-26 12:24:45,6177f396b1e499ce87a0dd2c
53.9700032,W,Potencia Casa,1635251095,2021-10-26 12:24:55,6177f3a0b1e499ce87a0dd2d
60.0009984,W,Potencia Casa,1635251112,2021-10-26 12:25:12,6177f3aab1e499ce87a0dd2e
23.977,W,Potencia Casa,1635251116,2021-10-26 12:25:16,6177f3b4b1e499ce87a0dd2f
70.0569984,W,Potencia Casa,1635251126,2021-10-26 12:25:26,6177f3bfb1e499ce87a0dd30
80.6139968,W,Potencia Casa,1635251136,2021-10-26 12:25:36,6177f3c9b1e499ce87a0dd31
21.7759984,W,Potencia Casa,1635251146,2021-10-26 12:25:46,6177f3d3b1e499ce87a0dd32
44.7770016,W,Potencia Casa,1635251156,2021-10-26 12:25:56,6177f3ddb1e499ce87a0dd33
81.72,W,Potencia Casa,1635251165,2021-10-26 12:26:05,6177f3e7b1e499ce87a0dd34
82.2369984,W,Potencia Casa,1635251176,2021-10-26 12:26:16,6177f3f1b1e499ce87a0dd35
17.7450016,W,Potencia Casa,1635251186,2021-10-26 12:26:26,6177f3fbb1e499ce87a0dd36
79.2710016,W,Potencia Casa,1635251195,2021-10-26 12:26:35,6177f405b1e499ce87a0dd37
82.8099968,W,Potencia Casa,1635251206,2021-10-26 12:26:46,6177f40fb1e499ce87a0dd38
85.4509952,W,Potencia Casa,1635251216,2021-10-26 12:26:56,6177f41ab1e499ce87a0dd39
17.9669984,W,Potencia Casa,1635251227,2021-10-26 12:27:07,6177f424b1e499ce87a0dd3a
17.9669984,W,Potencia Casa,1635251227,2021-10-26 12:27:07,6177f42eb1e499ce87a0dd3b
83.1,W,Potencia Casa,1635251246,2021-10-26 12:27:26,6177f438b1e499ce87a0dd3c
80.5990016,W,Potencia Casa,1635251256,2021-10-26 12:27:36,6177f442b1e499ce87a0dd3d
17.709,W,Potencia Casa,1635251266,2021-10-26 12:27:46,6177f44cb1e499ce87a0dd3e
,,,,,6177f458b1e499ce87a0dd3f
82.7020032,W,Potencia Casa,1635251290,2021-10-26 12:28:10,6177f463b1e499ce87a0dd40
81.7559936,W,Potencia Casa,1635251301,2021-10-26 12:28:21,6177f46db1e499ce87a0dd41
18.872,W,Potencia Casa,1635251311,2021-10-26 12:28:31,6177f478b1e499ce87a0dd42
55.1590016,W,Potencia Casa,1635251321,2021-10-26 12:28:41,6177f482b1e499ce87a0dd43
79.2549952,W,Potencia Casa,1635251331,2021-10-26 12:28:51,6177f48cb1e499ce87a0dd44
79.2549952,W,Potencia Casa,1635251331,2021-10-26 12:28:51,6177f496b1e499ce87a0dd45
17.91,W,Potencia Casa,1635251352,2021-10-26 12:29:12,6177f4a0b1e499ce87a0dd46
80.552,W,Potencia Casa,1635251361,2021-10-26 12:29:21,6177f4aab1e499ce87a0dd47
